134,RT @iliveasnatalie: As a professional within the construction industry I’m very concerned how legalization of marijuana will affect safety…
135,Long May You Reign #RoyalAssent #BillC45 #C45 https://t.co/d3cwLbxxYh
136,RT @iliveasnatalie: As a professional within the construction industry I’m very concerned how legalization of marijuana will affect safety…
137,"It's official!

Recreational #cannabis will be legal in #Canada on October 17, 2018. How did we get here? What are… https://t.co/aidrOfk3rn"
138,RT @iliveasnatalie: As a professional within the construction industry I’m very concerned how legalization of marijuana will affect safety…
139,4 working days away. So excited. See you there? #rnmkrtalks #billc45 #womenincannabis https://t.co/hjtXMCtZBc
140,Canada is the first in the G7 to legalize the recreational use of Marijuana. Prime Minister Trudeau will delay lega… https://t.co/FACYfpuRWN
141,Canadians have reached a new milestone! Prime Minister Justin Trudeau says cannabis will be legal in Canada on Octo… https://t.co/IKXcJiWFrH
142,RT @iliveasnatalie: As a professional within the construction industry I’m very concerned how legalization of marijuana will affect safety…
143,Let the countdown to October 17 begin! #Canada #CannabisAct #October17 #cannabis #Legalization #Trudeau… https://t.co/ew0Dtm4YSL
144,"RT @namaste: The date for the legalization of recreational #cannabis has been set! On October 17 of this year, Canada will see the dawn of…"
145,RT @iliveasnatalie: As a professional within the construction industry I’m very concerned how legalization of marijuana will affect safety…
146,RT @iliveasnatalie: As a professional within the construction industry I’m very concerned how legalization of marijuana will affect safety…
147,"RT @MH_Dillinger: Cannabis police, allowing cities to make dispensaries illegal, banning cannabis lounges, arrests for growing your four ma…"
148,RT @iliveasnatalie: As a professional within the construction industry I’m very concerned how legalization of marijuana will affect safety…
149,"RT @Zenabis: Mark your calendars! October 17th, 2018 will be the first official day that recreational #cannabis will be legalized in Canada…"
150,"RT @ArmandConant: To be clear, as of October 17, 2018, all adult Canadians will have legal access to cannabis for recreational use. Time wi…"
151,"🚧#safety #news: ""The findings state that employers’ top concerns include workplace safety, impairment or intoxicati… https://t.co/7hIHVd5bAM"
152,RT @CannabisNews: Cannabis is now legal under #BillC45. #cannabis #Marijuana #CannabisCommunity #CannabisCulture #cannabisnews #weed #pot #…
153,RT @mmjinvesting: #BILLC45 receives #RoyalAssent https://t.co/usS0Np7h1W
154,#BILLC45 receives #RoyalAssent https://t.co/usS0Np7h1W
155,"RT @namaste: The date for the legalization of recreational #cannabis has been set! On October 17 of this year, Canada will see the dawn of…"
156,"RT @namaste: The date for the legalization of recreational #cannabis has been set! On October 17 of this year, Canada will see the dawn of…"
157,"RT @FLAREfashion: Puff, puff, pass, y'all #BillC45
https://t.co/oY1wdfAoQu"
158,"RT @namaste: The date for the legalization of recreational #cannabis has been set! On October 17 of this year, Canada will see the dawn of…"
159,"RT @Zenabis: Mark your calendars! October 17th, 2018 will be the first official day that recreational #cannabis will be legalized in Canada…"
160,RT @SXMCanadaTalks: Recreational use of #Marijuana is legal and comes into affect Oct. 17th and @JodieEmery joins @anthonyfurey to weigh in…
161,"RT @Zenabis: History has been made today! The Senate has passed #BillC45 in a 52-29-2 vote, officially approving adult-use, recreational #c…"
162,"Canada ended 95 years of Cannabis prohibition Tuesday, passing landmark legislation – Bill C-45 – that lays the gro… https://t.co/r6ARxjCtn5"
163,VIDEO: What Passing of Bill C-45 means for Valens GroWorks Corp @ValensGroWorks (CNSX:VGW) https://t.co/y7p9Nc1kUL… https://t.co/tazS4wcugr
164,"RT @StefOstrander: Thank you, to all of you, that made this happen
We Will Rock The World By Changing It!
#BillC45 #C45 #legalization #cann…"
165,"RT @RISELifeScience: ""We've just witnessed a historic vote for Canada. The end of 90 years of prohibition."" — @TonyDean_TO  

When #BillC45…"
166,"""We've just witnessed a historic vote for Canada. The end of 90 years of prohibition."" — @TonyDean_TO  

When… https://t.co/RPJpBpoRDi"
167,RT @iliveasnatalie: As a professional within the construction industry I’m very concerned how legalization of marijuana will affect safety…
168,RT @iliveasnatalie: As a professional within the construction industry I’m very concerned how legalization of marijuana will affect safety…
169,RT @iliveasnatalie: As a professional within the construction industry I’m very concerned how legalization of marijuana will affect safety…
170,"RT @StefOstrander: Thank you, to all of you, that made this happen
We Will Rock The World By Changing It!
#BillC45 #C45 #legalization #cann…"
171,"With the Passing of Canada's Marijuana Bill C-45, the Nations' Legal Cannabis Market is Expected to Exceed $5 billi… https://t.co/IwE2tLU7eO"
172,RT @HeartInstitute: Tune in to @CFRAOttawa this afternoon at 1:48 p.m. to hear @DrAndrewPipe share his expert opinion about #marijuana and…
173,Tune in to @CFRAOttawa this afternoon at 1:48 p.m. to hear @DrAndrewPipe share his expert opinion about #marijuana… https://t.co/u4w84h6zLi
174,"RT @StefOstrander: Thank you, to all of you, that made this happen
We Will Rock The World By Changing It!
#BillC45 #C45 #legalization #cann…"
175,"On Tuesday, the Senate passed #BillC45 and yesterday PM @JustinTrudeau announced that marijuana will be legal in… https://t.co/23nVDH9IXU"
176,RT @Investor_Intel: Recreational #marijuana use will soon be legal in #Canada after the Senate passed a “historic” bill on Tuesday with a v…
177,Recreational #marijuana use will soon be legal in #Canada after the Senate passed a “historic” bill on Tuesday with… https://t.co/dPpzPYNXUn
178,"As one of the 1st Canadian brokers to facilitate #cannabis insurance, we welcome the #BillC45. Read why this is so… https://t.co/PiZtD6F7pT"
179,RT @iliveasnatalie: As a professional within the construction industry I’m very concerned how legalization of marijuana will affect safety…
180,"RT @StefOstrander: Thank you, to all of you, that made this happen
We Will Rock The World By Changing It!
#BillC45 #C45 #legalization #cann…"
181,RT @iliveasnatalie: As a professional within the construction industry I’m very concerned how legalization of marijuana will affect safety…
182,RT @SXMCanadaTalks: Recreational use of #Marijuana is legal and comes into affect Oct. 17th and @JodieEmery joins @anthonyfurey to weigh in…
183,"RT @StefOstrander: Thank you, to all of you, that made this happen
We Will Rock The World By Changing It!
#BillC45 #C45 #legalization #cann…"
184,RT @dolcebella68: My mom started her treatment of cbd oil / thc oil on Monday afternoon ... in less than 24hrs ... she is experiencing no p…
185,RT @NatPostRadio: Recreational use of #Marijuana is legal and comes into affect Oct. 17th and @JodieEmery joins @anthonyfurey to weigh in o…
186,Recreational use of #Marijuana is legal and comes into affect Oct. 17th and @JodieEmery joins @anthonyfurey to weig… https://t.co/4VISgziNB0
187,Recreational use of #Marijuana is legal and comes into affect Oct. 17th and @JodieEmery joins @anthonyfurey to weig… https://t.co/NJHtGVCslm
188,RT @NatPostRadio: Conservative MP @ErinOTooleMP joins @anthonyfurey for his thoughts on the passing of #BillC45 and what it means for the c…
189,"RT @StefOstrander: Thank you, to all of you, that made this happen
We Will Rock The World By Changing It!
#BillC45 #C45 #legalization #cann…"
190,"Thank you, to all of you, that made this happen
We Will Rock The World By Changing It!
#BillC45 #C45 #legalization… https://t.co/63bkTS2Yfn"
191,"RT @ArmandConant: To be clear, as of October 17, 2018, all adult Canadians will have legal access to cannabis for recreational use. Time wi…"
192,"RT @ArmandConant: To be clear, as of October 17, 2018, all adult Canadians will have legal access to cannabis for recreational use. Time wi…"
193,"RT @JillianPage22: @SenatorHousakos It's also easy to be named a Tory senator/minion, not so easy to be elected by the people to the House…"
194,"RT @JillianPage22: After all is said and done with Canadian #cannabis #billc45, will the Senate have made any meaningful contributions to t…"
195,RT @PiccoloHeathLLP: It’s the Law – Canada Comes Out of the Weeds.  Read our PH Report from @CindyIngramLLB about yesterday's passing of #B…
196,"RT @JillianPage22: @SenatorHousakos It's also easy to be named a Tory senator/minion, not so easy to be elected by the people to the House…"
197,"@SenatorHousakos It's also easy to be named a Tory senator/minion, not so easy to be elected by the people to the H… https://t.co/BaDRsvFCSv"
198,RT @Investor_Intel: #CannabisAct: The morning after comes with supply anxiety https://t.co/TIsQ85KXku #Cannabis #BillC45
199,Conservative MP @ErinOTooleMP joins @anthonyfurey for his thoughts on the passing of #BillC45 and what it means for… https://t.co/6SUShUO5Mu
200,Conservative MP @ErinOTooleMP joins @anthonyfurey for his thoughts on the passing of #BillC45 and what it means for… https://t.co/WtLQiOKJfq
201,"Yesterday, Prime Minister Justin Trudeau announced that Canadians will be able to consume #marijuana recreationally… https://t.co/9Bse8CDYNp"
202,RT @iliveasnatalie: As a professional within the construction industry I’m very concerned how legalization of marijuana will affect safety…
203,"RT @ArmandConant: To be clear, as of October 17, 2018, all adult Canadians will have legal access to cannabis for recreational use. Time wi…"
